form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཐུབ་པ་	ཐུབ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
།		PUNCT
		
།		PUNCT
ན་མོ་	ན་མོ་	X
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
མུ་ནི་	མུ་ནི་	NO_POS
ཡེ་	ཡེ་	ADV
།		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
བླ་མ་	བླ་མ་	NOUN
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
དུ་	ལ་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
ཉམས་	ཉམས་	NOUN
སུ་	སུ་	ADP
བླང་བ་	བླང་བ་	VERB
ར་	ལ་	PART
འདོད་པ་	འདོད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
		
སྐྱབས་སེམས་	སྐྱབས་སེམས་	NO_POS
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
བཏང་	བཏང་	VERB
ལ་ཚད་	ལ་ཚད་	NO_POS
མེད་པ་	མེད་པ་	VERB
བཞི་	བཞི་	NUM
ཡང་ན་	ཡང་ན་	NO_POS
ས་	གིས་	PART
ཡང་	ཀྱང་	PART
དུ་	ལ་	PART
བསྒོམ་	བསྒོམ་	VERB
ཞིང་	ཞིང་	SCONJ
།		PUNCT
མ་	མ་	PART
དག་	དག་	DET
སྣོད་བཅུད་	སྣོད་བཅུད་	NOUN
མི་	མི་	PART
དམིགས་	དམིགས་	VERB
སྟོང་པ་	སྟོང་པ་	VERB
ར་	ལ་	PART
སྦྱངས་	སྦྱངས་	VERB
།		PUNCT
		
།		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཞིང་ཁམས་	ཞིང་ཁམས་	NOUN
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་	ཚོགས་	NOUN
།		PUNCT
		
།		PUNCT
ཡངས་	ཡངས་	VERB
ཤིང་	ཅིང་	PART
རྒྱ་	རྒྱ་	NOUN
ཆེ་	ཆེ་	VERB
བཀོད་པ་	བཀོད་པ་	VERB
ཕུན་ཚོགས་	ཕུན་ཚོགས་	ADJ
དབུ་	དབུ་	NOUN
།		PUNCT
		
།		PUNCT
ཧཱུྃ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
རིན་ཆེན་	རིན་ཆེན་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
གྲུབ་	གྲུབ་	VERB
གཞལ་མེད་	གཞལ་མེད་	NOUN
ཁང་	ཁང་	NOUN
།		PUNCT
		
།		PUNCT
དེ་	དེ་	DET
དབུ་	དབུ་	NOUN
སེང་ཁྲི་	སེང་ཁྲི་	NOUN
པདྨ་	པདྨ་	NOUN
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
།		PUNCT
		
།		PUNCT
མུ་	མུ་	NOUN
ཡིག་	ཡིག་	NOUN
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
མདོག་	མདོག་	NOUN
ཅན་	ཅན་	PART
ཡོངས་	ཡོངས་	DET
གྱུར་	གྱུར་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཐུབ་པ་	ཐུབ་པ་	VERB
ཆེ་	ཆེ་	VERB
།		PUNCT
		
།		PUNCT
གསེར་མདོག་	གསེར་མདོག་	OTHER
མཚན་དཔེ་	མཚན་དཔེ་	NOUN
འི་	གི་	PART
གཟི་བརྗིད་	གཟི་བརྗིད་	NOUN
དཔལ་	དཔལ་	OTHER
དུ་	ལ་	PART
འབའ་	འབའ་	VERB
།		PUNCT
		
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
གཡའ་	གཡའ་	NOUN
ས་	ས་	ADP
གནོན་	གནོན་	VERB
གཡོན་པ་	གཡོན་པ་	ADJ
ས་	གིས་	PART
མཉམ་བཞག་	མཉམ་བཞག་	NOUN
མཛད་	མཛད་	VERB
།		PUNCT
		
།		PUNCT
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	ADP
ཆོས་གོས་	ཆོས་གོས་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
མཛེས་པ་	མཛེས་པ་	VERB
ར་	ལ་	PART
བཀླུབས་	བཀླུབས་	NO_POS
།		PUNCT
		
།		PUNCT
ཞབས་	ཞབས་	NOUN
གཉིས་	གཉིས་	NUM
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
སྐྱིལ་ཀྲུང་	སྐྱིལ་ཀྲུང་	NOUN
གཡོ་མེད་	གཡོ་མེད་	ADJ
བཞུགས་	བཞུགས་	VERB
།		PUNCT
		
།		PUNCT
གནས་	གནས་	NOUN
གསུམ་	གསུམ་	NUM
ཡིག་འབྲུ་	ཡིག་འབྲུ་	NOUN
གསུམ་	གསུམ་	NUM
གྱིས་	གིས་	PART
མཚན་པ་	མཚན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྤྱན་	སྤྱན་	NOUN
དྲངས་	དྲངས་	NO_POS
དམ་ཡེ་	དམ་ཡེ་	NO_POS
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
གྱུར་	གྱུར་	VERB
།		PUNCT
		
།		PUNCT
བཟང་པོ་	བཟང་པོ་	ADJ
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ན་	ནས་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
བདུན་པ་	བདུན་པ་	NUM
དང་	དང་	NO_POS
།		PUNCT
		
སྤྲོ་	སྤྲོ་	NO_POS
ན་	ན་	ADP
མཎྜལ་		NON_WORD
ཀྱང་	ཀྱང་	PART
ཕུལ་	ཕུལ་	VERB
།		PUNCT
		
དེ་ནས་	དེ་ནས་	NO_POS
དད་མོས་	དད་མོས་	OTHER
རྩེ་གཅིག་པ་	རྩེ་གཅིག་པ་	ADJ
ས་	གིས་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
སྟོན་པ་	སྟོན་པ་	NOUN
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
དགྲ་བཅོམ་པ་	དགྲ་བཅོམ་པ་	NOUN
